# airports.tab	main airports list

# This file is part of Tripover, a broad-search journey planner.

#  Copyright (C) 2014-2016 Joris van der Geer.

# This file is used by gtfstool when creating gtfs feeds from air timetables
# derived partially from openflights.org and ourairports.com  res.taca.com/zed/app/codes.html

# name	code	cc	lat	lon	utcofs	citydst	lat	lon

Chiang Mai	CNX	th	18.76685	98.96264	Asia/Bangkok
Chiang Rai	CEI	th	19.95234	99.88293	Asia/Bangkok
Chicago	MDW	us-il	41.787939	-87.741718	America/Chicago	mdw_amtrak	41.877312	-87.638381
Chicago	ORD	us-il	41.976674	-87.903684	America/Chicago	ord_amtrak	41.877312	-87.638381
Chicago/Rockford	RFD	us-il	42.201975	-89.095779	America/Chicago
Chiclayo	CIX	pe	-6.777365	-79.829602	America/Lima
Chifeng	CIF	cn	42.232012	118.945901	Asia/Shanghai	cif_rail	42.256385	118.961940
Chihuahua	CUU	mx	28.70287	-105.96457	America/Chihuahua
Chisinau	KIV	md	46.92774	28.93098	Europe/Chisinau
Chita	HTA	ru	52.019991	113.308337	Asia/Yakutsk	hta_Чита 2	52.026879	113.495910
Chizhou Jiuhuashan	JUH	cn	30.738816	117.682722	Asia/Shanghai	juh_chizhou	30.618253	117.524233
Chongqing	CKG	cn	29.716591	106.637637	Asia/Shanghai
=Chonqing CKG
Christchurch	CHC	nz	-43.488457	172.539787	Pacific/Auckland	chc_station	-43.539908	172.610060	20
Christmas Island	XCH	cx	-10.450599	105.690002	Indian/Christmas
Cincinnati	CVG	us-ky	39.054942	-84.656305	America/New_York
Cincinnati	LUK	us-oh	39.098509	-84.426819	America/New_York
Ciudad del Carmen	CME	mx	18.651047	-91.802748	America/Merida
Ciudad Juarez	CJS	mx	31.63613	-106.42867	America/Ojinaga
Ciudad Obregon	CEN	mx	27.39264	-109.83311	America/Hermosillo
Ciudad Victoria	CVM	mx	23.711405	-98.955139	America/Monterrey
Clarksburg, Wv	CKB	us-wv	39.299869	-80.230928	America/New_York
ClermontFerrand	CFE	fr	45.790403	3.159151	Europe/Paris
Cleveland	CLE	us-oh	41.411272	-81.837685	America/New_York
Cloncurry	CNJ	au-qld	-20.668841	140.508299	Australia/Brisbane	cnj_railway	-20.714028	140.517795
Clovis	CVS	us-nm	34.394205	-103.320823	America/Denver
Cluj	CLJ	ro	46.782043	23.687676	Europe/Bucharest
Cody/Yellowstone	COD	us-wy	44.517645	-109.022103	America/Denver
Coffs Harbour	CFS	au-nsw	-30.322786	153.115546	Australia/Sydney	cfs_railway	-30.305568	153.138060
Colima	CLQ	mx	19.281194	-103.577043	America/Mexico_City
College Station	CLL	us-tx	30.590369	-96.358677	America/Chicago
Cologne	CGN	de	50.878228	7.122202	Europe/Berlin	cgn_deutz	50.940038	6.979125
=Cologne/bonn CGN
Colombo	CMB	lk	7.174682	79.886017	Asia/Colombo
Colorado Springs	COS	us-co	38.798023	-104.700936	America/Denver
Columbia	CAE	us-sc	33.946059	-81.125079	America/New_York
Columbia	COU	us-mo	38.818271	-92.220858	America/Chicago
Columbus	CMH	us-oh	39.997689	-82.883461	America/New_York
